Species,Cytokine,MW
Mouse,CD62E,115000
Mouse,CD62L,76000
Mouse,G-CSF,18800
Mouse,GM-CSF,14000
Mouse,IFNb,19600
Mouse,IFNg,17200
Mouse,IL-10,18900
Mouse,IL-12,75000
Mouse,IL-12_IL-23p40,70000
Mouse,IL-12p40,40000
Mouse,IL-12p70,57480
Mouse,IL-13,12300
Mouse,IL-17A,15500
Mouse,IL-17F,14900
Mouse,IL-18,18000
Mouse,IL-1a,17500
Mouse,IL-1b,17500
Mouse,IL-2,17200
Mouse,IL-21,14400
Mouse,IL-22,16800
Mouse,IL-23,55000
Mouse,IL-27,23700
Mouse,IL-3,15200
Mouse,IL-34,39000
Mouse,IL-4,1400
Mouse,IL-5,26200
Mouse,IL-6,21900
Mouse,IL-7,17000
Mouse,IL-9,14300
Mouse,KC,11000
Mouse,MCP-1,16000
Mouse,MIG,12200
Mouse,MIP-1a,7820
Mouse,RANTES,7800
Mouse,TARC,8000
Mouse,TGFb,25000
Mouse,TNF,17500
Mouse,TNFa,17500
Human,Angiogenin,14000
Human,CD121a,37400
Human,CD121b,38800
Human,CD178,18000
Human,CD40L,16300
Human,CD54,95000
Human,CD62L,60190
Human,Eotaxin,8400
Human,FGF,16310
Human,Fractalkine,8770
Human,G-CSF,18600
Human,GM-CSF,14400
Human,Granzyme A,28000
Human,Granzyme B,27500
Human,IFN-A2,19400
Human,IFN-L1,19800
Human,IFN-L2_3,19600
Human,IFNb,22000
Human,IFNg,17200
Human,IL-10,18600
Human,IL-11,19100
Human,IL-12,57000
Human,IL-12p70,70000
Human,IL-17A,30700
Human,IL-17F,14903
Human,IL-1A,18047
Human,IL-1B,17300
Human,IL-2,15386
Human,IL-21,15500
Human,IL-3,15000
Human,IL-4,15000
Human,IL-5,26522
Human,IL-6,21000
Human,IL-7,17400
Human,IL-8,8904
Human,IL-9,14000
Human,IP-10,8600
Human,LT-Alp,18600
Human,MCP-1,13000
Human,MIG,11700
Human,MIP-1A,7500
Human,RANTES,7809
Human,TGF-B,12700
Human,TNF,17500
Human,TNFRI,22700
Human,TNFRII,26600
Human,TNFa,17500
Human,VEGF,19000
Human,CXCL11,8303
Human,CD14,55000
Human,CD62E,115000
Human,CD62P,110000
Human,IgE,188000
Human,IFNa,19241
Human,IL-13,12600
Human,CD106,102000
Mouse,IL-23p19,19500
Mouse,MIP-1b,7800
